createDate,taskName,accTotal,shotsTotal,killsPerSec,killTotal
3/7/2024 21:30,gridshot,93.25397,252,3.922819,235
3/7/2024 4:52,gridshot,88.46153,260,3.83931684,230
3/7/2024 3:08,gridshot,89.76378,254,3.805929,228
3/7/2024 0:38,gridshot,88.21293,263,3.8726995,232
3/7/2024 0:35,gridshot,92.42424,264,4.073036,244
3/7/2024 0:34,gridshot,85.09091,275,3.90622663,234
3/7/2024 0:32,gridshot,89.74359,273,4.08978939,245
3/7/2024 0:31,gridshot,91.7603,267,4.089728,245
3/7/2024 0:30,gridshot,89.29889,271,4.039673,242
3/7/2024 0:29,gridshot,93.7037048,270,4.2232275,253
3/7/2024 0:28,gridshot,91.60584,274,4.18996572,251
3/7/2024 0:27,gridshot,91.38577,267,4.073057,244
3/7/2024 0:26,gridshot,87.45247,263,3.8394413,230
3/7/2024 0:25,gridshot,91.14391,271,4.12304449,247
3/7/2024 0:22,gridshot,91.39785,279,4.256612,255
3/7/2024 0:21,gridshot,91.38577,267,4.073096,244
3/7/2024 0:20,gridshot,89.01515,264,3.92295027,235
3/7/2024 0:19,gridshot,91.20879,273,4.156541,249
3/7/2024 0:16,gridshot,91.8288,257,3.93953586,236
3/7/2024 0:11,gridshot,88.257576,264,3.88960028,233
3/7/2024 0:10,gridshot,86.84211,266,3.85604286,231
3/7/2024 0:09,gridshot,91.41791,268,4.089819,245
3/7/2024 0:08,gridshot,90.87452,263,3.98966646,239
3/7/2024 0:07,gridshot,92.39544,263,4.05651951,243
3/6/2024 20:24,gridshot,91.967865,249,3.822721,229
3/6/2024 4:04,gridshot,90.76923,260,3.93959785,236
3/6/2024 4:03,gridshot,88.5931549,263,3.88945913,233
3/6/2024 4:02,gridshot,87.45098,255,3.72253513,223
3/5/2024 23:52,gridshot,87.54579,273,3.98959851,239
3/5/2024 23:51,gridshot,89.4545441,275,4.10657644,246
3/5/2024 23:50,gridshot,90.54545,275,4.156509,249
3/5/2024 23:49,gridshot,88.7640457,267,3.95618176,237
3/5/2024 23:47,gridshot,88.30189,265,3.90626144,234
3/5/2024 23:46,gridshot,86.7647,272,3.93963146,236
3/5/2024 23:45,gridshot,92.99611,257,3.98964238,239
3/5/2024 23:05,gridshot,88.97339,263,3.90617013,234
3/5/2024 23:04,gridshot,85.71429,266,3.80598354,228
3/5/2024 23:02,gridshot,82.69896,289,3.98954034,239
3/5/2024 23:01,gridshot,91.20879,273,4.156567,249
3/5/2024 23:00,gridshot,88.51852,270,3.98960376,239
3/5/2024 22:59,gridshot,90.84249,273,4.13991642,248
3/5/2024 22:58,gridshot,86.23188,276,3.97295618,238
3/5/2024 22:56,gridshot,93.20755,265,4.123132,247
3/5/2024 22:55,gridshot,89.328064,253,3.77263975,226
3/5/2024 22:39,gridshot,89.1472855,258,3.83942914,230
3/5/2024 22:38,gridshot,96.21848,238,3.822755,229
3/5/2024 22:37,gridshot,93.52227,247,3.85616732,231
3/5/2024 22:36,gridshot,88.9313,262,3.88957334,233
3/5/2024 22:35,gridshot,93.3333359,255,3.972987,238
3/5/2024 22:34,gridshot,93.9759,249,3.90614533,234
3/5/2024 22:32,gridshot,92.88703,239,3.70593214,222
3/5/2024 22:31,gridshot,90.9090958,242,3.67234755,220
3/5/2024 4:47,gridshot,82.38095,210,2.88787341,173
3/5/2024 4:44,gridshot,85.87787,262,3.75592136,225
3/5/2024 4:42,gridshot,91.82156,269,4.12311554,247
3/5/2024 4:41,gridshot,84.9420853,259,3.67253375,220
3/5/2024 4:40,gridshot,91.9540253,261,4.006304,240
3/5/2024 4:39,gridshot,90.8045959,261,3.956154,237
3/5/2024 4:37,gridshot,88.32685,257,3.78942156,227
3/5/2024 1:59,gridshot,91.7322845,254,3.889547,233
3/4/2024 22:21,gridshot,88.1422958,253,3.72245479,223
3/4/2024 22:20,gridshot,88.97638,254,3.77261758,226
3/4/2024 22:19,gridshot,87.45247,263,3.8393712,230
3/4/2024 22:18,gridshot,90.43825,251,3.78925061,227
3/4/2024 22:17,gridshot,89.76378,254,3.8059926,228
3/4/2024 22:16,gridshot,83.1460648,267,3.7059083,222
3/4/2024 22:06,gridshot,92.578125,256,3.95625973,237
3/4/2024 22:05,gridshot,89.28571,252,3.75589037,225
3/4/2024 22:04,gridshot,92.69231,260,4.02306747,241
3/4/2024 22:02,gridshot,91.05058,257,3.90608335,234
3/4/2024 22:01,gridshot,86.328125,256,3.68922472,221
3/4/2024 22:00,gridshot,90.8366547,251,3.80601,228
3/4/2024 21:59,gridshot,90.7630539,249,3.77256775,226
3/4/2024 21:58,gridshot,93.25397,252,3.92280054,235
3/4/2024 21:57,gridshot,92.3387146,248,3.82268548,229
3/4/2024 21:55,gridshot,93.6,250,3.906142,234
3/4/2024 21:54,gridshot,90.1960754,255,3.839319,230
3/4/2024 21:53,gridshot,88.46153,260,3.839507,230
3/4/2024 21:52,gridshot,86.95652,253,3.67248487,220
3/4/2024 21:51,gridshot,88.7966843,241,3.57230854,214
3/4/2024 21:50,gridshot,90.9434,265,4.02302074,241
3/4/2024 21:49,gridshot,90.31008,258,3.889598,233
3/4/2024 21:47,gridshot,86.24535,269,3.872675,232
3/4/2024 21:46,gridshot,94.63602,261,4.12316275,247
3/4/2024 5:12,gridshot,87.34694,245,3.57240677,214
3/4/2024 5:11,gridshot,87.02929,239,3.47208381,208
3/3/2024 22:25,gridshot,91.02041,245,3.72246623,223
3/3/2024 3:22,gridshot,88.35342,249,3.67253351,220
3/3/2024 3:21,gridshot,87.4493942,247,3.60573864,216
3/3/2024 3:20,gridshot,89.5582352,249,3.72254968,223
3/2/2024 22:26,gridshot,85.28302,265,3.77270436,226
3/2/2024 22:25,gridshot,89.6551743,261,3.906242,234
3/2/2024 22:24,gridshot,65.73427,286,3.13820314,188
3/2/2024 22:23,gridshot,88.03088,259,3.80600786,228
3/2/2024 22:22,gridshot,84.15095,265,3.722501,223
3/2/2024 22:21,gridshot,89.3382339,272,4.05648327,243
3/2/2024 22:19,gridshot,88.5057449,261,3.856119,231
3/2/2024 22:18,gridshot,86.6666641,270,3.90623236,234
3/2/2024 22:17,gridshot,90.51095,274,4.1399,248
3/2/2024 21:59,gridshot,81.78571,280,3.82268023,229
3/2/2024 21:58,gridshot,87.27273,275,4.00628376,240
3/2/2024 21:57,gridshot,87.9562,274,4.022936,241
3/2/2024 21:55,gridshot,88.27839,273,4.02308464,241
3/2/2024 21:53,gridshot,91.92307,260,3.9897275,239
3/2/2024 21:52,gridshot,84.52381,252,3.55573463,213
3/2/2024 21:51,gridshot,90.69768,258,3.90625215,234
3/2/2024 21:50,gridshot,86.973175,261,3.78936934,227
3/2/2024 21:49,gridshot,89.9613953,259,3.889478,233
3/2/2024 21:48,gridshot,87.890625,256,3.75602031,225
3/2/2024 21:47,gridshot,89.9613953,259,3.88935947,233
3/2/2024 5:50,gridshot,85.6617661,272,3.88957977,233
3/2/2024 5:49,gridshot,80,255,3.40529919,204
3/2/2024 5:48,gridshot,87.68657,268,3.922832,235
3/2/2024 5:47,gridshot,86.19403,268,3.85614872,231
3/2/2024 5:45,gridshot,89.96283,269,4.03962946,242
3/2/2024 5:44,gridshot,88.97339,263,3.90611672,234
3/1/2024 20:07,gridshot,86.328125,256,3.68909812,221
3/1/2024 20:06,gridshot,90.0415,241,3.62240458,217
3/1/2024 6:24,gridshot,93.0612259,245,3.80608869,228
2/29/2024 7:34,gridshot,91.90283,247,3.78928542,227
2/29/2024 7:33,gridshot,82.1011658,257,3.522187,211
2/29/2024 3:49,gridshot,86.2068939,261,3.75602055,225
2/29/2024 3:47,gridshot,86.037735,265,3.80610442,228
2/29/2024 3:46,gridshot,86.89138,267,3.87287641,232
2/29/2024 3:45,gridshot,89.62963,270,4.03969526,242
2/29/2024 3:44,gridshot,90.4943,263,3.97302127,238
2/29/2024 3:42,gridshot,90.47619,252,3.80594921,228
2/28/2024 20:16,gridshot,89.5582352,249,3.72247338,223
2/28/2024 4:39,gridshot,88.46153,260,3.83943582,230
2/28/2024 4:38,gridshot,89.61539,260,3.88953328,233
2/28/2024 4:37,gridshot,87.6,250,3.65583849,219
2/28/2024 4:36,gridshot,86.4541855,251,3.622417,217
2/27/2024 21:41,gridshot,82.16783,286,3.922878,235
2/27/2024 21:40,gridshot,85.71429,280,4.00643826,240
2/27/2024 3:11,gridshot,89.15663,249,3.70567942,222
2/27/2024 3:02,gridshot,85.82375,261,3.73922086,224
2/26/2024 23:28,gridshot,81.22605,261,3.53898215,212
2/26/2024 23:27,gridshot,85.99222,257,3.68916249,221
2/26/2024 23:26,gridshot,88.16326,245,3.60557175,216
2/13/2024 23:25,gridshot,86.746994,249,3.60560441,216
2/9/2024 9:04,gridshot,86.85259,251,3.639168,218
2/8/2024 22:14,gridshot,84.10853,258,3.622388,217
2/8/2024 22:13,gridshot,85.28302,265,3.772596,226
2/8/2024 22:12,gridshot,87.69231,260,3.805981,228
11/3/2023 23:59,gridshot,85.71429,238,3.40535331,204
10/24/2023 1:41,gridshot,90,240,3.60573483,216
10/22/2023 18:46,gridshot,85.7740555,239,3.42214131,205
10/22/2023 18:45,gridshot,93.3884354,242,3.77256656,226
10/22/2023 18:44,gridshot,92.85714,224,3.47222686,208
10/21/2023 20:12,gridshot,88.3817444,241,3.555569,213
10/21/2023 18:06,gridshot,92.7125549,247,3.822608,229
10/21/2023 18:05,gridshot,95.08197,244,3.87271047,232
10/21/2023 1:56,gridshot,87.25099,251,3.65573072,219
10/21/2023 1:55,gridshot,87.06896,232,3.3719945,202
10/21/2023 1:53,gridshot,89.69957,233,3.488769,209
10/20/2023 23:43,gridshot,89.45148,237,3.538879,212
10/20/2023 23:37,gridshot,91.9354858,248,3.80600762,228
10/20/2023 23:36,gridshot,88.4920654,252,3.72254014,223
10/20/2023 1:19,gridshot,94.2623,244,3.8393538,230
10/20/2023 1:18,gridshot,92.07048,227,3.48876286,209
10/19/2023 5:01,gridshot,90.53498,243,3.67246962,220
10/19/2023 3:06,gridshot,87.86611,239,3.50558615,210
10/19/2023 3:05,gridshot,94.24779,226,3.55553436,213
10/19/2023 3:04,gridshot,89.71194,243,3.63909268,218
5/11/2023 8:02,gridshot,87.6,250,3.65581155,219
5/5/2023 22:09,gridshot,85.99222,257,3.68924069,221
5/5/2023 22:07,gridshot,87.0229,262,3.80596066,228
5/5/2023 22:06,gridshot,91.05058,257,3.90605164,234
5/5/2023 22:04,gridshot,89.68254,252,3.77273273,226
5/5/2023 22:03,gridshot,85.60311,257,3.67240071,220
5/5/2023 22:02,gridshot,87.54864,257,3.7560246,225
5/5/2023 22:00,gridshot,90.51383,253,3.822787,229
5/5/2023 21:59,gridshot,90.12346,243,3.65568972,219
3/30/2023 3:08,gridshot,87.77778,270,3.956343,237
3/30/2023 3:07,gridshot,90.4580154,262,3.95636559,237
3/30/2023 3:05,gridshot,90.38461,260,3.9228425,235
3/27/2023 2:43,gridshot,86.5079346,252,3.6391108,218
3/27/2023 2:42,gridshot,92.607,257,3.97295141,238
3/14/2023 5:35,gridshot,83.46457,254,3.53890824,212
3/14/2023 5:33,gridshot,91.2,250,3.80592632,228
3/14/2023 5:32,gridshot,91.05058,257,3.90620041,234
3/14/2023 5:30,gridshot,92.3387146,248,3.822574,229
3/14/2023 5:29,gridshot,85.71429,259,3.70571756,222
3/14/2023 5:28,gridshot,86.95652,253,3.67243338,220
3/14/2023 5:26,gridshot,91.37255,255,3.88954282,233
3/14/2023 5:24,gridshot,89.73384,263,3.93944144,236
3/14/2023 5:23,gridshot,87.09677,248,3.605587,216
3/13/2023 7:44,gridshot,88.37209,258,3.80611134,228
3/13/2023 7:43,gridshot,87.5,264,3.85611081,231
3/13/2023 7:41,gridshot,86.95652,253,3.67253423,220
3/12/2023 7:07,gridshot,87.7862549,262,3.83943772,230
3/12/2023 7:06,gridshot,86.69064,278,4.02301836,241
3/12/2023 7:05,gridshot,90.4943,263,3.97285438,238
3/12/2023 7:04,gridshot,91.47287,258,3.93942261,236
3/12/2023 7:03,gridshot,92.80303,264,4.08973169,245
3/12/2023 7:02,gridshot,85.8823547,255,3.655788,219
3/11/2023 7:37,gridshot,92.63566,258,3.98955584,239
3/11/2023 7:36,gridshot,83.78378,259,3.62230968,217
3/11/2023 7:34,gridshot,80.8764954,251,3.38892078,203
3/11/2023 7:33,gridshot,89.43396,265,3.95637941,237
3/11/2023 1:44,gridshot,92.63566,258,3.98961282,239
3/11/2023 1:43,gridshot,89.49416,257,3.83946776,230
3/11/2023 1:42,gridshot,91.796875,256,3.92294431,235
3/11/2023 1:40,gridshot,91.35338,266,4.05641174,243
3/10/2023 7:19,gridshot,87.1212158,264,3.8393507,230
3/10/2023 7:18,gridshot,92.19331,269,4.1399765,248
3/10/2023 7:16,gridshot,90.4580154,262,3.95618033,237
3/10/2023 7:14,gridshot,88.21293,263,3.872867,232
3/10/2023 7:12,gridshot,90.8397,262,3.97290277,238
3/10/2023 1:12,gridshot,86.2068939,261,3.756043,225
3/10/2023 1:10,gridshot,93.63296,267,4.17337656,250
3/10/2023 1:09,gridshot,85.92058,277,3.97289681,238
3/10/2023 0:55,gridshot,87.73946,261,3.82278514,229
3/10/2023 0:54,gridshot,92.3371658,261,4.022882,241
3/10/2023 0:52,gridshot,91.7603,267,4.0898695,245
3/10/2023 0:51,gridshot,88.80597,268,3.973057,238
3/10/2023 0:50,gridshot,90.0368958,271,4.0728507,244
3/10/2023 0:49,gridshot,88.6861343,274,4.056321,243
3/10/2023 0:48,gridshot,93.3333359,270,4.206781,252
3/10/2023 0:46,gridshot,93.6567154,268,4.189939,251
3/10/2023 0:44,gridshot,91.11969,259,3.93953276,236
3/10/2023 0:42,gridshot,91.66667,252,3.85613966,231
3/10/2023 0:41,gridshot,91.30435,253,3.8560636,231
3/10/2023 0:28,gridshot,89.23077,260,3.87280464,232
3/10/2023 0:26,gridshot,90.87452,263,3.98958564,239
3/10/2023 0:24,gridshot,94.2084961,259,4.07309,244
3/10/2023 0:22,gridshot,94.84127,252,3.98975539,239
3/10/2023 0:21,gridshot,96.49123,228,3.6725595,220
3/10/2023 0:20,gridshot,85,240,3.40540576,204
3/10/2023 0:18,gridshot,87.5502,249,3.639063,218
3/10/2023 0:16,gridshot,88.5593262,236,3.48886561,209
3/9/2023 10:10,gridshot,85.09804,255,3.62236667,217
3/9/2023 7:30,gridshot,82.65682,271,3.73926568,224
3/9/2023 7:28,gridshot,86.037735,265,3.80603647,228
3/9/2023 7:24,gridshot,83.96947,262,3.67245674,220
3/9/2023 7:22,gridshot,87.1698151,265,3.85611773,231
3/9/2023 7:20,gridshot,87.8327,263,3.85610723,231
3/9/2023 0:35,gridshot,88.97339,263,3.90623069,234
3/9/2023 0:34,gridshot,86.64122,262,3.78925681,227
3/9/2023 0:32,gridshot,89.3382339,272,4.056552,243
3/9/2023 0:31,gridshot,88.07693,260,3.82275915,229
3/8/2023 23:41,gridshot,87.2093048,258,3.75592327,225
3/8/2023 23:39,gridshot,92.06349,252,3.87283015,232
3/8/2023 23:38,gridshot,92.49012,253,3.90614057,234
3/8/2023 23:36,gridshot,89.7541,244,3.6557827,219
3/8/2023 23:35,gridshot,93.49593,246,3.83952212,230
3/8/2023 23:34,gridshot,90.7630539,249,3.77259374,226
3/8/2023 1:50,gridshot,86.36364,264,3.80604625,228
3/8/2023 1:41,gridshot,82.2695,282,3.872877,232
3/8/2023 1:39,gridshot,93.77432,257,4.02280045,241
3/8/2023 1:35,gridshot,94.7580643,248,3.922907,235
3/8/2023 1:33,gridshot,84.31373,255,3.58893156,215
3/8/2023 1:32,gridshot,90.03984,251,3.77250934,226
3/8/2023 1:31,gridshot,89.01961,255,3.78936863,227
3/8/2023 1:29,gridshot,88.54962,262,3.87286949,232
3/8/2023 1:28,gridshot,90.43825,251,3.789279,227
3/8/2023 1:26,gridshot,88.97638,254,3.7726295,226
3/8/2023 1:24,gridshot,92.36948,249,3.83951426,230
3/8/2023 1:22,gridshot,91.37255,255,3.889581,233
3/8/2023 1:21,gridshot,89.7541,244,3.65579128,219
3/1/2023 9:51,gridshot,87.5,240,3.50558257,210
2/26/2023 3:36,gridshot,85.8267746,254,3.63905025,218
2/25/2023 5:58,gridshot,81.25,256,3.47222686,208
2/25/2023 5:57,gridshot,82.62549,259,3.57233572,214
2/25/2023 5:55,gridshot,89.69466,262,3.92285466,235
2/25/2023 5:54,gridshot,90.11407,263,3.95632529,237
2/24/2023 10:06,gridshot,84.42623,244,3.43871379,206
2/24/2023 10:05,gridshot,89.6000061,250,3.739227,224
2/24/2023 10:04,gridshot,88.2845154,239,3.52217412,211
2/24/2023 10:02,gridshot,88.57143,245,3.622436,217
2/24/2023 6:15,gridshot,87.4477,239,3.48850274,209
2/22/2023 8:51,gridshot,81.63265,245,3.33863378,200
2/21/2023 9:11,gridshot,78.16092,261,3.40540886,204
2/21/2023 9:10,gridshot,88.75502,249,3.68925452,221
2/21/2023 5:36,gridshot,87.69231,260,3.80608535,228
2/20/2023 10:09,gridshot,85.82375,261,3.73910713,224
2/20/2023 10:02,gridshot,81.64794,267,3.638942,218
2/20/2023 9:04,gridshot,80,265,3.53885555,212
2/20/2023 9:02,gridshot,89.8373947,246,3.68925667,221
2/20/2023 9:01,gridshot,88.30645,248,3.65572381,219
2/20/2023 8:59,gridshot,83.203125,256,3.55558467,213
2/20/2023 8:58,gridshot,90.07937,252,3.78916669,227
2/20/2023 8:56,gridshot,86.6666641,255,3.689131,221
2/20/2023 8:54,gridshot,94.5833359,240,3.78926444,227
2/20/2023 8:34,gridshot,90.49774,221,3.33858323,200
2/19/2023 8:11,gridshot,82.94573,258,3.57241964,214
2/19/2023 7:14,gridshot,87.90323,248,3.63900471,218
2/19/2023 7:13,gridshot,89.95984,249,3.73934913,224
2/19/2023 7:12,gridshot,85.2589645,251,3.57232761,214
2/19/2023 7:11,gridshot,78.21011,257,3.35533261,201
2/19/2023 7:07,gridshot,89.74359,234,3.50548887,210
2/19/2023 6:32,gridshot,85.09804,255,3.62237453,217
2/19/2023 6:30,gridshot,92.68293,246,3.80601645,228
2/19/2023 6:20,gridshot,88.8,250,3.705855,222
2/19/2023 6:13,gridshot,90.98712,233,3.53897858,212
2/18/2023 9:19,gridshot,85.47718,241,3.4387846,206
2/17/2023 9:09,gridshot,90.6383,235,3.555585,213
2/17/2023 8:59,gridshot,84.5493546,233,3.288597,197
11/24/2022 7:25,gridshot,87.89238,223,3.27179241,196
11/24/2022 7:24,gridshot,95.8115158,191,3.05472183,183
5/23/2022 21:48,gridshot,87.8640747,206,3.021419,181
5/21/2022 22:28,gridshot,87.5576,217,3.17168355,190
3/15/2022 8:39,gridshot,80.2281342,263,3.522296,211
3/15/2022 8:37,gridshot,87.64941,251,3.66039181,220
3/4/2022 11:36,gridshot,87.5,240,3.50557065,210
3/4/2022 11:35,gridshot,85.31746,252,3.58899665,215
3/4/2022 10:24,gridshot,85.60311,257,3.67236781,220
3/4/2022 10:23,gridshot,86.746994,249,3.605608,216
3/4/2022 10:22,gridshot,86.90476,252,3.65583539,219
3/4/2022 10:19,gridshot,89.71194,243,3.639042,218
3/4/2022 10:18,gridshot,85.29411,238,3.388708,203
3/4/2022 10:17,gridshot,89.87341,237,3.555719,213
3/4/2022 10:16,gridshot,84.67742,248,3.505572,210
3/4/2022 10:14,gridshot,85.2,250,3.55571365,213
3/4/2022 10:13,gridshot,90.2834,247,3.72248435,223
3/4/2022 10:12,gridshot,84.27419,248,3.48881865,209
3/4/2022 10:10,gridshot,88.0165253,242,3.55574179,213
3/3/2022 22:57,gridshot,74.77477,222,2.770968,166
3/3/2022 13:18,gridshot,76.6949158,236,3.021412,181
3/3/2022 13:17,gridshot,81.78137,247,3.37200165,202
3/3/2022 12:28,gridshot,75.21368,234,2.937983,176
3/3/2022 12:20,gridshot,84,225,3.15491962,189
3/3/2022 12:18,gridshot,84.46602,206,2.904681,174
